team,pitchers_used,pitcher_age,era,innings_pitched,p_hits,p_runs,earned_runs,homeruns_allowed,walks_allowed,p_strikeouts,saves,hbp,era_plus,whip,hits_per_nine,hr_per_nine,walks_per_nine,so_per_nine,so_walk,p_left_on_base,year
ATL,18,27.5,3.53,1445.0,1334,631,566,144,438,893,42,27,103,1.226,8.3,0.9,2.7,5.6,2.04,1076,1969.0
BAL,14,27.7,2.83,1473.2,1194,517,463,117,498,897,36,22,126,1.148,7.3,0.7,3.0,5.5,1.80,1033,1969.0
BOS,19,26.5,3.92,1466.2,1423,736,639,155,685,935,41,48,98,1.437,8.7,1.0,4.2,5.7,1.37,1257,1969.0
CAL,19,26.6,3.54,1438.1,1294,652,566,126,517,885,39,51,98,1.259,8.1,0.8,3.2,5.5,1.71,1032,1969.0
CHC,17,27.6,3.34,1454.1,1366,611,540,118,475,1017,27,29,121,1.266,8.5,0.7,2.9,6.3,2.14,1129,1969.0
CHW,20,28.4,4.21,1437.2,1470,723,672,146,564,810,25,33,93,1.415,9.2,0.9,3.5,5.1,1.44,1168,1969.0
CIN,17,27.3,4.11,1465.0,1478,768,669,149,611,818,44,56,91,1.426,9.1,0.9,3.8,5.0,1.34,1270,1969.0
CLE,16,27.3,3.94,1437.0,1330,717,629,134,681,1000,22,48,95,1.399,8.3,0.8,4.3,6.3,1.47,1198,1969.0
DET,16,28.1,3.31,1455.1,1250,601,536,128,586,1032,28,34,113,1.262,7.7,0.8,3.6,6.4,1.76,1138,1969.0
HOU,18,25.6,3.60,1435.2,1347,668,574,111,547,1221,34,35,99,1.319,8.4,0.7,3.4,7.7,2.23,1151,1969.0
KCR,16,25.2,3.72,1464.2,1357,688,605,136,560,894,25,25,99,1.309,8.3,0.8,3.4,5.5,1.60,1140,1969.0
LAD,14,27.3,3.08,1457.0,1324,561,499,122,420,975,31,38,108,1.197,8.2,0.8,2.6,6.0,2.32,1096,1969.0
MIN,15,28.9,3.24,1497.2,1388,618,539,119,524,906,43,38,114,1.277,8.3,0.7,3.1,5.4,1.73,1183,1969.0
MON,18,26.8,4.33,1426.0,1429,791,686,145,702,973,21,49,85,1.494,9.0,0.9,4.4,6.1,1.39,1238,1969.0
NYM,15,25.8,2.99,1468.1,1217,541,487,119,517,1012,35,29,122,1.181,7.5,0.7,3.2,6.2,1.96,1081,1969.0
NYY,14,26.6,3.23,1440.2,1258,587,517,118,522,801,20,18,108,1.236,7.9,0.7,3.3,5.0,1.53,1080,1969.0
OAK,15,24.3,3.71,1480.2,1356,678,611,163,586,887,36,39,92,1.312,8.2,1.0,3.6,5.4,1.51,1125,1969.0
PHI,15,26.1,4.14,1434.0,1494,745,660,134,570,921,21,38,86,1.439,9.4,0.8,3.6,5.8,1.62,1217,1969.0
PIT,16,28.2,3.61,1445.2,1348,652,580,96,553,1124,33,37,97,1.315,8.4,0.6,3.4,7.0,2.03,1130,1969.0
SDP,17,24.9,4.24,1422.1,1454,746,670,113,592,764,25,39,84,1.438,9.2,0.7,3.7,4.8,1.29,1201,1969.0
SEP,25,28.4,4.35,1463.2,1490,799,707,172,653,963,33,47,83,1.464,9.2,1.1,4.0,5.9,1.47,1257,1969.0
SFG,14,29.5,3.26,1473.2,1381,636,533,120,461,906,17,35,109,1.250,8.4,0.7,2.8,5.5,1.97,1130,1969.0
STL,20,27.9,2.94,1460.1,1289,540,477,99,511,1004,26,31,122,1.233,7.9,0.6,3.1,6.2,1.96,1152,1969.0
WSA,16,27.0,3.49,1447.1,1310,644,561,135,656,835,41,36,99,1.358,8.1,0.8,4.1,5.2,1.27,1196,1969.0
ATL,17,28.7,4.33,1430.2,1451,772,688,185,478,960,24,30,98,1.348,9.1,1.2,3.0,6.0,2.01,1115,1970.0
BAL,12,28.5,3.15,1478.2,1317,574,517,139,469,941,31,23,116,1.208,8.0,0.8,2.9,5.7,2.01,1090,1970.0
BOS,20,27.9,3.87,1446.1,1391,722,622,156,594,1003,44,44,103,1.372,8.7,1.0,3.7,6.2,1.69,1198,1970.0
CAL,16,26.0,3.48,1462.1,1280,630,566,154,559,922,49,43,104,1.258,7.9,0.9,3.4,5.7,1.65,1083,1970.0
CHC,18,27.7,3.76,1435.0,1402,679,599,143,475,1000,25,25,119,1.308,8.8,0.9,3.0,6.3,2.11,1102,1970.0
CHW,21,27.0,4.54,1430.1,1554,822,722,164,556,762,30,44,84,1.475,9.8,1.0,3.5,4.8,1.37,1159,1970.0
CIN,15,25.2,3.69,1444.2,1370,681,592,118,592,843,60,29,113,1.358,8.5,0.7,3.7,5.3,1.42,1169,1970.0
CLE,16,25.9,3.91,1451.1,1333,675,630,163,689,1076,35,40,100,1.393,8.3,1.0,4.3,6.7,1.56,1202,1970.0
DET,16,26.6,4.09,1447.1,1443,731,658,153,623,1045,39,35,92,1.427,9.0,1.0,3.9,6.5,1.68,1246,1970.0
HOU,17,26.3,4.23,1456.0,1491,763,685,131,577,942,35,41,92,1.420,9.2,0.8,3.6,5.8,1.63,1206,1970.0
KCR,17,26.2,3.78,1463.2,1346,705,615,138,641,915,25,34,99,1.358,8.3,0.8,3.9,5.6,1.43,1157,1970.0
LAD,16,26.7,3.82,1458.2,1394,684,619,164,496,880,42,34,100,1.296,8.6,1.0,3.1,5.4,1.77,1132,1970.0
MIL,19,27.8,4.21,1446.2,1397,751,676,146,587,895,27,45,90,1.371,8.7,0.9,3.7,5.6,1.52,1146,1970.0
MIN,13,28.1,3.23,1448.1,1329,605,520,130,486,940,58,37,118,1.253,8.3,0.8,3.0,5.8,1.93,1122,1970.0
MON,17,26.7,4.50,1438.2,1434,807,720,162,716,914,32,49,91,1.494,9.0,1.0,4.5,5.7,1.28,1224,1970.0
NYM,14,26.1,3.45,1459.2,1260,630,559,135,575,1064,32,26,116,1.257,7.8,0.8,3.5,6.6,1.85,1125,1970.0
NYY,17,27.5,3.24,1471.2,1386,612,530,130,451,777,49,26,109,1.248,8.5,0.8,2.8,4.8,1.72,1116,1970.0
OAK,16,27.2,3.30,1442.2,1253,593,529,134,542,858,40,34,108,1.244,7.8,0.8,3.4,5.4,1.58,1108,1970.0
PHI,15,28.8,4.17,1461.0,1483,730,677,132,538,1047,36,33,97,1.383,9.1,0.8,3.3,6.4,1.95,1181,1970.0
PIT,20,27.9,3.70,1453.2,1386,664,597,106,625,990,43,36,106,1.383,8.6,0.7,3.9,6.1,1.58,1172,1970.0
SDP,16,26.4,4.36,1440.1,1483,788,697,149,611,886,32,38,91,1.454,9.3,0.9,3.8,5.5,1.45,1217,1970.0
SFG,16,28.4,4.50,1457.2,1514,826,729,156,604,931,30,30,90,1.453,9.3,1.0,3.7,5.7,1.54,1209,1970.0
STL,22,26.4,4.06,1475.2,1483,747,665,102,632,960,20,22,103,1.433,9.0,0.6,3.9,5.9,1.52,1251,1970.0
WSA,17,27.6,3.80,1457.2,1375,689,615,139,611,823,40,27,93,1.362,8.5,0.9,3.8,5.1,1.35,1146,1970.0
ATL,14,28.5,3.75,1474.2,1529,699,614,152,485,823,31,28,99,1.366,9.3,0.9,3.0,5.0,1.70,1188,1971.0
BAL,13,29.5,2.99,1415.1,1257,530,470,125,416,793,22,18,113,1.182,8.0,0.8,2.6,5.0,1.91,1023,1971.0
BOS,15,29.1,3.80,1443.0,1424,667,610,136,535,871,35,42,97,1.358,8.9,0.8,3.3,5.4,1.63,1194,1971.0
CAL,14,26.4,3.10,1481.0,1246,576,510,101,607,904,32,36,105,1.251,7.6,0.6,3.7,5.5,1.49,1149,1971.0
CHC,15,28.7,3.61,1444.0,1458,648,579,132,411,900,13,26,108,1.294,9.1,0.8,2.6,5.6,2.19,1114,1971.0
CHW,14,25.9,3.12,1450.1,1348,597,503,100,468,976,32,29,116,1.252,8.4,0.6,2.9,6.1,2.09,1141,1971.0
CIN,15,25.1,3.35,1444.0,1298,581,538,112,501,750,38,27,98,1.246,8.1,0.7,3.1,4.7,1.50,1075,1971.0
CLE,16,25.1,4.28,1440.0,1352,747,684,154,770,937,32,48,90,1.474,8.5,1.0,4.8,5.9,1.22,1259,1971.0
DET,18,26.7,3.63,1468.1,1355,645,593,126,609,1000,32,49,100,1.338,8.3,0.8,3.7,6.1,1.64,1218,1971.0
HOU,17,26.5,3.13,1471.1,1318,567,512,75,475,914,25,60,108,1.219,8.1,0.5,2.9,5.6,1.92,1140,1971.0
KCR,16,26.7,3.25,1420.1,1301,566,513,84,496,775,44,36,105,1.265,8.2,0.5,3.1,4.9,1.56,1099,1971.0
LAD,14,28.4,3.23,1449.2,1363,587,521,110,399,853,33,19,100,1.215,8.5,0.7,2.5,5.3,2.14,1052,1971.0
MIL,15,26.0,3.38,1416.1,1303,609,532,130,569,795,32,27,102,1.322,8.3,0.8,3.6,5.1,1.40,1118,1971.0
MIN,14,27.3,3.81,1416.2,1384,670,600,139,529,895,25,40,93,1.350,8.8,0.9,3.4,5.7,1.69,1150,1971.0
